,,Navn (Kilde til variasjon),Egnethet til ØG,Kartstatus,Kartformat,Kilder,Kort beskrivelse av produksjon,"Kommentarer (fremtidige muligheter, nye datasett, begrensninger etc.)"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SM,Størrelsesrelatert miljøvariabilitet (i vannsystemer),X,fra grunnkart,,"AR5, N50, andre kartdata?",,"Størrelsesklasser på vannforekomster - OK, dybde mer uklart?"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SP,Slåttemarkspreg,?,kartlegging,AR5?,Beitekart/GAB?,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SS,Sandstabilisering,?,kartlegging,,,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SU,Skredutsatthet,?,modellerbart/gradientkart eksisterer,skredfarekart,NVE,Art NVE?,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SV,Snødekkebetinget vekstsesongreduksjon,x?,,Satellitt?,,,NB - Senteniel4Nature-prosjektet (NINA+Norsk regnesentral)
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SX,"Sterkt endret mark/bunn uten hevdpreg, preget av menneskebetinget forstyrrelse",?,,,,,Omfattende og kompleks variabel som omfatter mange typer forstyrrelse. Må vurderes mer detaljert.
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),SY,Sterk endring av vannmasser,?,,,,,Miljødata for ferskvann? Vanndirektivet?
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),S3,Sedimentsortering,X ,kartlegges/modellbart?,høydemodell/kvartærgeologisk kart/jordartskart,Mareano/NGU,"Mange dimensjoner, marin og terrestrisk del",Ny inndeling av variabel i NiN2 - må utredes nærmere
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),,Erosjonsmotstand (i sorterte sedimenter),X ,kartlegges/modellbart?,høydemodell/kvartærgeologisk kart/jordartskart,Mareano/NGU,"Mange dimensjoner, marin og terrestrisk del",Ny inndeling av variabel i NiN2 - må utredes nærmere
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),,Finmaterialinnhold (i sorterte sedimenter),X ,kartlegges/modellbart?,høydemodell/kvartærgeologisk kart/jordartskart,Mareano/NGU,"Mange dimensjoner, marin og terrestrisk del",Ny inndeling av variabel i NiN2 - må utredes nærmere
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),,Spesielle sorterte sedimenter,X ,kartlegges/modellbart?,høydemodell/kvartærgeologisk kart/jordartskart,Mareano/NGU,"Mange dimensjoner, marin og terrestrisk del",Ny inndeling av variabel i NiN2 - må utredes nærmere
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),,Dominerende kornstørrelsesklasse,X ,kartlegges/modellbart?,høydemodell/kvartærgeologisk kart/jordartskart,Mareano/NGU,"Mange dimensjoner, marin og terrestrisk del",
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),TE,Torvproduserende evne,?,,,,,Må vurderes mer eksplisitt
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),TU,Turbiditet,X,kartleggbart /modellerbart,,Vanndirektivet/bre og leire,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),TV,Tørrleggingsvarighet,X?,modellbart; Flo/fjære-kart?,vannbudsjett/flomkart,NVE/NIVA/HI?,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),UE,Uttørkingseksponering,X?,modellerbart,høydemodell/vanndatabase,MI,,"Variabelen er noe endret i NiN2, og må gjennomgås"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),UF,Uttørkingsfare,X,modellbart,høydemodell,PCAterreng/jordartskart/PCAklima,,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),VF,Vannpåvirkningssintensitet,X,modellerbart,Flomregimer + Hav,NVE +H//NIVA/NINA,,"Variabelen er noe endret i NiN2, og må gjennomgås. Mer kompleks nå, må deles opp?"
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),VI,Vindutsatthet,X?,overordnet skala,Jordartskart,NGU,modellering?,
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),VM,Vannmetning,X,,,NIBIO,Satellitt,NB - prosjekt i regi av NIBIO og NSF i skog
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),VR,Vannpåvirkningsregime,X,modellbart/modellert,,HI/NIVA/NINA,,Bølgeenergi + tidevannsstrømmer
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),VS,Vannsprutintensitet,X?,modellerbart,høydemodell/vanndatabase,MI,,Del av fossesprøytsone-prosjekt?
LOKALE KOMPLEKSE MILJØVARIABLER (LKM),VT,Vanntilførsel,?,kartleggbart/knapt modellerbart,,kildedatabase??,NGU?,"Mer generell vurdering, må vurderes mer spesifikt"
ARTSSAMMENSETNING,1AE,Enkeltartssammensetning,x?,,Artskart?,"NIBIO, artsmodellering",,Må vurderes mer eksplisitt
ARTSSAMMENSETNING,1AG,Artsgruppesammensetning,x?,,,NIBIO,,Kun vurdert for treslag
ARTSSAMMENSETNING,1AR,Relativ del-artsgruppesammensetning,x,,,AR5,,Kun vurdert for treslag
GEOLOGISK SAMMENSETNING,2BE,Bergartsforekomst,x,klart?,,NGU,,Jf. Oppdatert bergartsinndeling fra NGU
GEOLOGISK SAMMENSETNING,2MI,Mineralforekomst,x?,,,NGU,,Vurderes av NGU
GEOLOGISK SAMMENSETNING,2JA,Jordartsforekomst,x?,,,NGU/NIBIO,,Må vurderes mer eksplisitt
GEOLOGISK SAMMENSETNING,2JM,Jordsmonnforekomst,x?,,,NGU/NIBIO,,Må vurderes mer eksplisitt
GEOLOGISK SAMMENSETNING,2FO,Fossilforekomst,?,,,,,Finnes systematisk kartfesting?
LANDFORM,3AB,Avsetningsformer knyttet til breer,X,avhengig av kartlegging,morene og randavsetninger/jortskart,jordartskart og nasjonalatlas,,
LANDFORM,3AR,Avsetningsformer knyttet til rennende vann,?,modellering/avhengig av kartlegging,,N/Elvedeltabasen,Viser de store elvedeltar/modellere elvesletter/elvevifter,
LANDFORM,3BF,Breformer,X,kartlagt,,NVE/v Østrem,Breatlaset,
LANDFORM,3EB,Erosjonsformer knyttet til breer,X?,modellering/avhengig av kartlegging,,NINA,"Nye landskapsinndeling, modellering under oljeleting",
LANDFORM,3EL,Elveløpsformer,X,modellering/avhengig av kartlegging,,NINA,"meandrer, kroksjøer, fosser, forgrende elveløp",
LANDFORM,3ER,Erosjonsformer knyttet til rennende vann,?,modellering/avhengig av kartlegging,,NINA,bekkekløfter/raviner,
